CT/ID,CT/LABEL
[kidney loop of Henle cortical thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/1001109),Cortical Thick Ascending Limb
CL:000084,T
